"siteID","H_plant_bc","n_plots"
"ABBY",0.558020777723751,10
"BARR",0.361111111111111,2
"BART",0.573219650945965,13
"BLAN",0.659323753620358,11
"BONA",0.57658219938526,10
"CLBJ",0.76180138581258,11
"CPER",0.466544280068544,10
"DCFS",0.561384685586942,10
"DEJU",0.578804277510454,10
"DELA",0.575993188469122,12
"DSNY",0.726509443013836,15
"GRSM",0.64652756380921,14
"HARV",0.647607588894052,12
"HEAL",0.580604377465978,14
"JERC",0.575943270264756,11
"JORN",0.521472434174509,10
"KONA",0.642366388642848,10
"KONZ",0.651021138690422,10
"LENO",0.506210498532904,10
"MLBS",0.605531353375461,10
"MOAB",0.576062113692089,11
"NIWO",0.746635340587543,11
"NOGP",0.626506180157191,10
"OAES",0.519741018599697,10
"ONAQ",0.665766478595573,17
"ORNL",0.65366860715176,13
"OSBS",0.791827650688194,12
"RMNP",0.736562526421569,10
"SCBI",0.627109386865436,12
"SERC",0.589391354573281,11
"SJER",0.511681219418956,10
"SOAP",0.621133169797692,12
"SRER",0.569479333924376,10
"STEI",0.618412964157817,10
"STER",0.428465829753994,7
"TALL",0.62859455877345,10
"TEAK",0.781486064896748,10
"TOOL",0.581550387604419,4
"TREE",0.711318800299638,12
"UKFS",0.599190471426651,10
"UNDE",0.675450549302409,11
"WOOD",0.736907110889813,12
"WREF",0.544008976491444,10
"YELL",0.720924309050982,10
