"trait","K","K_p","lambda","lambda_p","n_species"
"temporal_niche",0.00112135405050423,0.028028028028028,0.848416508429436,8.7319685506025e-12,259
"habitat_niche",0.00317624081878135,0.00700700700700701,0.526272835831924,3.21692574131784e-07,259
