"siteID","habitat_PC1"
"ABBY",0.103722650012228
"BARR",0.160582412050164
"BART",-0.0911484106667753
"BLAN",-0.298186197660627
"BONA",0.242443652603478
"CLBJ",0.00643844519751579
"CPER",0.221574249953516
"DCFS",0.187040620995754
"DEJU",0.262658502750737
"DELA",-0.265362624524466
"DSNY",-0.0449440526581612
"GRSM",-0.347976685856976
"HARV",-0.20951196396144
"HEAL",0.266056656163033
"JERC",-0.17637135834913
"JORN",0.145201333138241
"KONA",0.0379366777144096
"KONZ",-0.0783703835622762
"LENO",-0.269870484859002
"MLBS",-0.310810232841674
"MOAB",0.188642510864749
"NIWO",0.170700783010878
"NOGP",0.190481380475656
"OAES",0.102045561174264
"ONAQ",0.187249897539369
"ORNL",-0.378247323889858
"OSBS",-0.0909461227446462
"RMNP",0.189413645695111
"SCBI",-0.314228221438485
"SERC",-0.350350528036049
"SJER",0.109275325748574
"SOAP",0.111308997337171
"SRER",0.138237045327058
"STEI",-0.121430602779933
"STER",0.170928358318031
"TALL",-0.277282590935738
"TEAK",0.124941423444484
"TOOL",0.236582103893799
"TREE",-0.126287313799816
"UKFS",-0.160251820792836
"UNDE",-0.0921150901639769
"WOOD",0.162726539459546
"WREF",0.105890860572592
"YELL",0.181612376081504
