"ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
41,0.235191332529268,0.252030408236898,0.0143775426370215,124,-1.17120680026848,0.124,999
9,0.138348833888889,0.251056928938383,0.0319128871951609,1,-3.53174234472224,0.001,999
32,0.232773591495968,0.251211967557719,0.017175913788385,149,-1.07350189858429,0.149,999
89,0.222613501194586,0.250978110810442,0.00921568158105232,1,-3.07786346201172,0.001,999
24,0.235890295905797,0.251627420520259,0.0186170039041723,203,-0.845309196660555,0.203,999
60,0.246462522191525,0.250990015287156,0.011743054838086,352,-0.385546449203848,0.352,999
63,0.213841045988735,0.251529863028158,0.0114919856235041,2,-3.27957398087402,0.002,999
74,0.244987674783414,0.250506268320033,0.0104902724754351,302,-0.526067702201478,0.302,999
28,0.240903235478836,0.251796169583441,0.0179605574103915,272,-0.606491984391436,0.272,999
52,0.257790174992459,0.251276664471699,0.0134175736101921,692,0.485446229697755,0.692,999
37,0.226181467852853,0.250708646385031,0.0156294544688499,60,-1.56929204285801,0.06,999
59,0.24640917240678,0.250804206894929,0.0122319138306842,366,-0.359308817000008,0.366,999
41,0.241442667234146,0.250833883682548,0.0153123859690984,281,-0.613308498581102,0.281,999
28,0.231471881650794,0.251419264976675,0.0179008730215925,129,-1.1143246087395,0.129,999
49,0.246523930413265,0.251147498787146,0.0134415315319515,392,-0.343976306783951,0.392,999
23,0.23777768315415,0.251778247390165,0.0206058904173249,255,-0.67944475839022,0.255,999
84,0.246779816775674,0.251119399759459,0.00975616187908266,332,-0.444804323418324,0.332,999
78,0.250371640568765,0.251355033668455,0.0101079822800863,463,-0.0972887637158003,0.463,999
52,0.244083873543741,0.251223159586335,0.0131151173643123,303,-0.544355482629641,0.303,999
59,0.243454834313267,0.25112666024635,0.0127177188823815,269,-0.603239150356707,0.269,999
18,0.220158105535948,0.25143779430418,0.0230833509950544,83,-1.35507573293557,0.083,999
44,0.238794109044397,0.25175030071183,0.01416572484401,185,-0.914615511038343,0.185,999
80,0.236125347285127,0.250969364417256,0.0101350925425985,68,-1.4646158453649,0.068,999
62,0.242392852285034,0.251406081041577,0.0113132041346028,221,-0.796699913596921,0.221,999
17,0.180100145352941,0.25145759567731,0.0236846889360502,1,-3.01280926749923,0.001,999
95,0.229412286703695,0.25113841735389,0.0094866968192483,9,-2.29016812323055,0.009,999
51,0.226043292236863,0.251702567558253,0.0130091835522327,20,-1.97239705461659,0.02,999
36,0.227131363196825,0.25158849750943,0.0157100193363961,60,-1.55678575493181,0.06,999
85,0.219476350681233,0.251020219259346,0.00980125845066832,1,-3.21834882090705,0.001,999
92,0.229443332408505,0.250879205622558,0.00934678923715694,12,-2.2933943058048,0.012,999
16,0.212243070975,0.251417254556348,0.0232898199336211,47,-1.68203033312406,0.047,999
24,0.241609887155797,0.250847131916906,0.0189933214313507,316,-0.486341727774995,0.316,999
32,0.24084643459879,0.251663891787822,0.0165212664894388,265,-0.654759560712057,0.265,999
48,0.246470841105496,0.251918290435553,0.0138382696154749,363,-0.393651047524355,0.363,999
67,0.218706223441881,0.251537238460351,0.0113181080415423,2,-2.90075115893625,0.002,999
54,0.240254282133473,0.251167593996885,0.012230366188504,180,-0.892312764410114,0.18,999
18,0.215888198973856,0.251366195742246,0.022326499642786,56,-1.58905324775587,0.056,999
29,0.223838653635468,0.251080403339872,0.0176055486218314,61,-1.54733886966881,0.061,999
58,0.254755598898367,0.25136320495231,0.0122917873888489,600,0.275988661269369,0.6,999
77,0.24981547392823,0.25121682349167,0.010231532026032,450,-0.136963805603594,0.45,999
36,0.239077256804762,0.251489116765445,0.0163984544404397,233,-0.756892059905014,0.233,999
100,0.243018289292121,0.250759889494216,0.00889343220818935,190,-0.870485097414507,0.19,999
15,0.248405420190476,0.251689248757176,0.0252182288061236,474,-0.130216463334755,0.474,999
37,0.21333420539039,0.251829844431335,0.0158729375343324,12,-2.42523722894269,0.012,999
